[2026-07-10 15:09:10] INFO     | master_parser |   ✅ public.awr_fg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:10] INFO     | master_parser |   ✅ public.awr_bg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:10] INFO     | master_parser |   ✅ public.awr_bg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:10] INFO     | master_parser |   ✅ public.awr_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:10] INFO     | master_parser | 🎉 MV refresh complete
[2026-07-10 15:09:10] WARNING  | master_parser | ⚠ Could not resolve snap range for ONE_LMS — skipping recommendations/anomalies
[2026-07-10 15:09:10] INFO     | master_parser | 📦 Archived to C:\AWR_Insight_Portal_v2\archive\ONE_LMS\10_1_20260710_150910.html
[2026-07-10 15:09:10] INFO     | master_parser | 🎉 File processed successfully: 10_1.html
[2026-07-10 15:09:12] INFO     | master_parser | ============================================================
[2026-07-10 15:09:12] INFO     | master_parser | 📂 Processing: 11_1.html
[2026-07-10 15:09:12] INFO     | master_parser |    DB Name  : ONE_LMS
[2026-07-10 15:09:12] INFO     | master_parser |    Full path: C:\AWR_Insight_Portal_v2\awr_reports\ONE_LMS\11_1.html
[2026-07-10 15:09:12] INFO     | master_parser | Running 49 parser modules …
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ generic_segment_parser                        1.63s
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_Phy_read_req_parser                   0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_buff_busy_waits_parser                0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_cr_blk_rec_parser                     0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_cur_blk_rec_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_db_blk_chg_parser                     0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_reads_parser               0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_writes_parser              0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_gbl_cache_buff_busy_parser            0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_itl_waits_parser                      0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_logical_reads_parser                  0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_opt_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_phy_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_phy_write_req_parser                  0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_phy_writes_parser                     0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_row_lck_waits_parser                  0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_table_scan_parser                     0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  awr_seg_unopt_reads_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  background_wait_events_parser                 0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  buffer_wait_statistics_parser                 0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  db_info_parser                                0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  enqueue_wait_statistics_parser                0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  foreground_wait_class_parser                  0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  foreground_wait_events                        0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  instance_activity_statistics_parser           0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  instance_efficiency_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_profile_parser                             0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_stat_by_filetype_summary_parser            0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_stat_by_func_filetype_summary_parser       0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_stat_by_function_summary_parser            0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_stat_file_parser                           0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  io_stat_tablespaces_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  license_engine_10jul26                        0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  load_profile_parser                           0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  operating_system_statistics_parser            0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  pga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_cluster_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_cpu_time_parser                           0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_elapsed_time_parser                       0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_executions_parser                         0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_gets_parser                               0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_parse_calls_parser                        0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_physical_reads_unopt_parser               0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_reads_parser                              0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_text_parser                               0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  sql_user_io_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  time_model_stats_parser                       0.00s (no-op)
[2026-07-10 15:09:13] WARNING  | master_parser |   ⚠  undo_statistics_parser                        0.00s (no-op)
[2026-07-10 15:09:13] INFO     | master_parser | Modules complete in 1.7s — 0 failure(s)
[2026-07-10 15:09:13] INFO     | master_parser | 🔁 Refreshing materialized views …
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_sql_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_segment_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_fg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_fg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_bg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_bg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser |   ✅ public.awr_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:13] INFO     | master_parser | 🎉 MV refresh complete
[2026-07-10 15:09:13] WARNING  | master_parser | ⚠ Could not resolve snap range for ONE_LMS — skipping recommendations/anomalies
[2026-07-10 15:09:13] INFO     | master_parser | 📦 Archived to C:\AWR_Insight_Portal_v2\archive\ONE_LMS\11_1_20260710_150913.html
[2026-07-10 15:09:13] INFO     | master_parser | 🎉 File processed successfully: 11_1.html
[2026-07-10 15:09:15] INFO     | master_parser | ============================================================
[2026-07-10 15:09:15] INFO     | master_parser | 📂 Processing: 12_1.html
[2026-07-10 15:09:15] INFO     | master_parser |    DB Name  : ONE_LMS
[2026-07-10 15:09:15] INFO     | master_parser |    Full path: C:\AWR_Insight_Portal_v2\awr_reports\ONE_LMS\12_1.html
[2026-07-10 15:09:15] INFO     | master_parser | Running 49 parser modules …
[2026-07-10 15:09:16] INFO     | master_parser |   ✅ generic_segment_parser                        1.75s
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_Phy_read_req_parser                   0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_buff_busy_waits_parser                0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_cr_blk_rec_parser                     0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_cur_blk_rec_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_db_blk_chg_parser                     0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_reads_parser               0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_writes_parser              0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_gbl_cache_buff_busy_parser            0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_itl_waits_parser                      0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_logical_reads_parser                  0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_opt_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_phy_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_phy_write_req_parser                  0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_phy_writes_parser                     0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_row_lck_waits_parser                  0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_table_scan_parser                     0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  awr_seg_unopt_reads_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  background_wait_events_parser                 0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  buffer_wait_statistics_parser                 0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  db_info_parser                                0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  enqueue_wait_statistics_parser                0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  foreground_wait_class_parser                  0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  foreground_wait_events                        0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  instance_activity_statistics_parser           0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  instance_efficiency_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_profile_parser                             0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_stat_by_filetype_summary_parser            0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_stat_by_func_filetype_summary_parser       0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_stat_by_function_summary_parser            0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_stat_file_parser                           0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  io_stat_tablespaces_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  license_engine_10jul26                        0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  load_profile_parser                           0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  operating_system_statistics_parser            0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  pga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_cluster_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_cpu_time_parser                           0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_elapsed_time_parser                       0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_executions_parser                         0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_gets_parser                               0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_parse_calls_parser                        0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_physical_reads_unopt_parser               0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_reads_parser                              0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_text_parser                               0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  sql_user_io_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  time_model_stats_parser                       0.00s (no-op)
[2026-07-10 15:09:16] WARNING  | master_parser |   ⚠  undo_statistics_parser                        0.00s (no-op)
[2026-07-10 15:09:16] INFO     | master_parser | Modules complete in 1.8s — 0 failure(s)
[2026-07-10 15:09:16] INFO     | master_parser | 🔁 Refreshing materialized views …
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_sql_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_segment_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_fg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_fg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_bg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_bg_wait_event_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser |   ✅ public.awr_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:17] INFO     | master_parser | 🎉 MV refresh complete
[2026-07-10 15:09:17] WARNING  | master_parser | ⚠ Could not resolve snap range for ONE_LMS — skipping recommendations/anomalies
[2026-07-10 15:09:17] INFO     | master_parser | 📦 Archived to C:\AWR_Insight_Portal_v2\archive\ONE_LMS\12_1_20260710_150917.html
[2026-07-10 15:09:17] INFO     | master_parser | 🎉 File processed successfully: 12_1.html
[2026-07-10 15:09:18] INFO     | master_parser | ============================================================
[2026-07-10 15:09:18] INFO     | master_parser | 📂 Processing: 9_1.html
[2026-07-10 15:09:18] INFO     | master_parser |    DB Name  : ONE_LMS
[2026-07-10 15:09:18] INFO     | master_parser |    Full path: C:\AWR_Insight_Portal_v2\awr_reports\ONE_LMS\9_1.html
[2026-07-10 15:09:18] INFO     | master_parser | Running 49 parser modules …
[2026-07-10 15:09:19] INFO     | master_parser |   ✅ generic_segment_parser                        1.64s
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_Phy_read_req_parser                   0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_buff_busy_waits_parser                0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_cr_blk_rec_parser                     0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_cur_blk_rec_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_db_blk_chg_parser                     0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_reads_parser               0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_direct_phy_writes_parser              0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_gbl_cache_buff_busy_parser            0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_itl_waits_parser                      0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_logical_reads_parser                  0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_opt_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_phy_reads_parser                      0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_phy_write_req_parser                  0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_phy_writes_parser                     0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_row_lck_waits_parser                  0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_table_scan_parser                     0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  awr_seg_unopt_reads_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  background_wait_events_parser                 0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  buffer_wait_statistics_parser                 0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  db_info_parser                                0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  enqueue_wait_statistics_parser                0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  foreground_wait_class_parser                  0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  foreground_wait_events                        0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  instance_activity_statistics_parser           0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  instance_efficiency_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_profile_parser                             0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_stat_by_filetype_summary_parser            0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_stat_by_func_filetype_summary_parser       0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_stat_by_function_summary_parser            0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_stat_file_parser                           0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  io_stat_tablespaces_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  license_engine_10jul26                        0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  load_profile_parser                           0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  operating_system_statistics_parser            0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  pga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sga_target_advisory_parser                    0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_cluster_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_cpu_time_parser                           0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_elapsed_time_parser                       0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_executions_parser                         0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_gets_parser                               0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_parse_calls_parser                        0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_physical_reads_unopt_parser               0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_reads_parser                              0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_text_parser                               0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  sql_user_io_wait_parser                       0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  time_model_stats_parser                       0.00s (no-op)
[2026-07-10 15:09:19] WARNING  | master_parser |   ⚠  undo_statistics_parser                        0.00s (no-op)
[2026-07-10 15:09:19] INFO     | master_parser | Modules complete in 1.7s — 0 failure(s)
[2026-07-10 15:09:19] INFO     | master_parser | 🔁 Refreshing materialized views …
[2026-07-10 15:09:19] INFO     | master_parser |   ✅ public.awr_sql_summary_mv (CONCURRENT)
[2026-07-10 15:09:19] INFO     | master_parser |   ✅ public.awr_segment_summary_mv (CONCURRENT)
[2026-07-10 15:09:19] INFO     | master_parser |   ✅ public.awr_fg_wait_summary_mv (CONCURRENT)
[2026-07-10 15:09:19] INFO     | master_parser |   ✅ public.awr_fg_wait_event_summary_mv (CONCURRENT)
